24-04-11--16-55-30

aug=mix
bsz=64
nb_nodes=100
model_lr=5e-05
nb_batch_per_epoch=400
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[50]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 34.659min, tot time: 0.024day, L_base: 104.693, L_train: 24.668, update_model: True.
Epoch: 1, epoch time: 27.975min, tot time: 0.047day, L_base: 24.433, L_train: 24.182, update_model: True.
Epoch: 2, epoch time: 28.018min, tot time: 0.070day, L_base: 24.168, L_train: 21.279, update_model: True.
Epoch: 3, epoch time: 28.212min, tot time: 0.092day, L_base: 21.458, L_train: 19.477, update_model: True.
Epoch: 4, epoch time: 38.423min, tot time: 0.122day, L_base: 19.242, L_train: 18.784, update_model: True.
Epoch: 5, epoch time: 38.885min, tot time: 0.153day, L_base: 18.887, L_train: 18.714, update_model: True.
Epoch: 6, epoch time: 38.131min, tot time: 0.184day, L_base: 18.757, L_train: 18.656, update_model: True.
Epoch: 7, epoch time: 30.857min, tot time: 0.209day, L_base: 18.891, L_train: 18.599, update_model: True.
Epoch: 8, epoch time: 26.503min, tot time: 0.230day, L_base: 18.514, L_train: 18.182, update_model: True.
Epoch: 9, epoch time: 26.543min, tot time: 0.252day, L_base: 18.113, L_train: 18.302, update_model: False.
Epoch: 10, epoch time: 26.509min, tot time: 0.273day, L_base: 17.985, L_train: 18.147, update_model: False.
Epoch: 11, epoch time: 26.492min, tot time: 0.294day, L_base: 18.031, L_train: 17.855, update_model: True.
Epoch: 12, epoch time: 26.713min, tot time: 0.315day, L_base: 18.065, L_train: 17.847, update_model: True.
Epoch: 13, epoch time: 26.481min, tot time: 0.336day, L_base: 17.771, L_train: 17.756, update_model: True.
Epoch: 14, epoch time: 26.509min, tot time: 0.357day, L_base: 17.673, L_train: 17.688, update_model: False.
Epoch: 15, epoch time: 26.523min, tot time: 0.378day, L_base: 17.875, L_train: 17.715, update_model: True.
Epoch: 16, epoch time: 26.486min, tot time: 0.399day, L_base: 17.605, L_train: 17.970, update_model: False.
Epoch: 17, epoch time: 26.999min, tot time: 0.421day, L_base: 17.547, L_train: 17.956, update_model: False.
Epoch: 18, epoch time: 26.459min, tot time: 0.442day, L_base: 17.643, L_train: 17.623, update_model: True.
Epoch: 19, epoch time: 27.033min, tot time: 0.464day, L_base: 17.625, L_train: 17.625, update_model: False.
Epoch: 20, epoch time: 26.519min, tot time: 0.485day, L_base: 17.521, L_train: 17.822, update_model: False.
Epoch: 21, epoch time: 26.519min, tot time: 0.506day, L_base: 17.472, L_train: 17.472, update_model: False.
Epoch: 22, epoch time: 26.504min, tot time: 0.527day, L_base: 17.345, L_train: 17.413, update_model: False.
Epoch: 23, epoch time: 27.051min, tot time: 0.549day, L_base: 17.590, L_train: 17.436, update_model: True.
Epoch: 24, epoch time: 27.035min, tot time: 0.570day, L_base: 17.459, L_train: 17.597, update_model: False.
Epoch: 25, epoch time: 27.022min, tot time: 0.592day, L_base: 17.580, L_train: 17.686, update_model: False.
Epoch: 26, epoch time: 27.034min, tot time: 0.613day, L_base: 17.372, L_train: 17.536, update_model: False.
Epoch: 27, epoch time: 26.479min, tot time: 0.634day, L_base: 17.546, L_train: 17.495, update_model: True.
Epoch: 28, epoch time: 27.026min, tot time: 0.656day, L_base: 17.262, L_train: 17.287, update_model: False.
Epoch: 29, epoch time: 27.027min, tot time: 0.677day, L_base: 17.336, L_train: 17.283, update_model: True.
Epoch: 30, epoch time: 27.036min, tot time: 0.699day, L_base: 17.188, L_train: 17.319, update_model: False.
Epoch: 31, epoch time: 26.429min, tot time: 0.720day, L_base: 17.106, L_train: 17.107, update_model: False.
Epoch: 32, epoch time: 26.481min, tot time: 0.741day, L_base: 17.333, L_train: 17.312, update_model: True.
Epoch: 33, epoch time: 27.036min, tot time: 0.763day, L_base: 17.278, L_train: 17.186, update_model: True.
Epoch: 34, epoch time: 26.422min, tot time: 0.784day, L_base: 17.059, L_train: 17.157, update_model: False.
Epoch: 35, epoch time: 26.397min, tot time: 0.805day, L_base: 17.309, L_train: 17.381, update_model: False.
Epoch: 36, epoch time: 26.598min, tot time: 0.826day, L_base: 17.470, L_train: 17.429, update_model: True.
Epoch: 37, epoch time: 26.738min, tot time: 0.847day, L_base: 17.242, L_train: 17.311, update_model: False.
Epoch: 38, epoch time: 26.746min, tot time: 0.869day, L_base: 17.190, L_train: 17.248, update_model: False.
Epoch: 39, epoch time: 26.738min, tot time: 0.890day, L_base: 17.246, L_train: 17.276, update_model: False.
Epoch: 40, epoch time: 26.742min, tot time: 0.911day, L_base: 17.133, L_train: 17.088, update_model: True.
Epoch: 41, epoch time: 26.686min, tot time: 0.933day, L_base: 17.122, L_train: 17.137, update_model: False.
Epoch: 42, epoch time: 26.720min, tot time: 0.954day, L_base: 17.181, L_train: 17.119, update_model: True.
Epoch: 43, epoch time: 26.670min, tot time: 0.975day, L_base: 17.137, L_train: 17.273, update_model: False.
Epoch: 44, epoch time: 26.653min, tot time: 0.996day, L_base: 17.151, L_train: 17.126, update_model: True.
Epoch: 45, epoch time: 26.726min, tot time: 1.018day, L_base: 16.767, L_train: 16.809, update_model: False.
