24-04-12--19-44-37

aug=mix
bsz=64
nb_nodes=120
model_lr=5e-05
nb_batch_per_epoch=400
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[65]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0, 120: 50.0}


Epoch: 0, epoch time: 44.227min, tot time: 0.031day, L_base: 39.009, L_train: 28.481, update_model: True.
Epoch: 1, epoch time: 34.477min, tot time: 0.060day, L_base: 28.241, L_train: 25.508, update_model: True.
Epoch: 2, epoch time: 35.163min, tot time: 0.088day, L_base: 25.711, L_train: 23.751, update_model: True.
Epoch: 3, epoch time: 35.079min, tot time: 0.116day, L_base: 23.859, L_train: 24.032, update_model: False.
Epoch: 4, epoch time: 35.082min, tot time: 0.144day, L_base: 23.708, L_train: 22.845, update_model: True.
Epoch: 5, epoch time: 35.619min, tot time: 0.172day, L_base: 23.038, L_train: 22.323, update_model: True.
Epoch: 6, epoch time: 35.275min, tot time: 0.200day, L_base: 22.032, L_train: 21.556, update_model: True.
Epoch: 7, epoch time: 34.752min, tot time: 0.228day, L_base: 21.557, L_train: 21.248, update_model: True.
Epoch: 8, epoch time: 34.863min, tot time: 0.256day, L_base: 21.398, L_train: 21.220, update_model: True.
Epoch: 9, epoch time: 34.857min, tot time: 0.284day, L_base: 20.994, L_train: 20.670, update_model: True.
Epoch: 10, epoch time: 34.831min, tot time: 0.311day, L_base: 21.058, L_train: 21.269, update_model: False.
Epoch: 11, epoch time: 34.906min, tot time: 0.339day, L_base: 20.862, L_train: 20.708, update_model: True.
Epoch: 12, epoch time: 34.960min, tot time: 0.367day, L_base: 20.799, L_train: 23.095, update_model: False.
Epoch: 13, epoch time: 34.928min, tot time: 0.395day, L_base: 20.473, L_train: 21.946, update_model: False.
Epoch: 14, epoch time: 35.229min, tot time: 0.423day, L_base: 20.742, L_train: 22.145, update_model: False.
Epoch: 15, epoch time: 35.035min, tot time: 0.451day, L_base: 20.845, L_train: 20.998, update_model: False.
Epoch: 16, epoch time: 34.985min, tot time: 0.479day, L_base: 20.623, L_train: 20.610, update_model: True.
Epoch: 17, epoch time: 34.894min, tot time: 0.507day, L_base: 20.650, L_train: 20.525, update_model: True.
Epoch: 18, epoch time: 34.809min, tot time: 0.535day, L_base: 20.578, L_train: 20.536, update_model: True.
Epoch: 19, epoch time: 34.781min, tot time: 0.562day, L_base: 20.501, L_train: 20.606, update_model: False.
Epoch: 20, epoch time: 34.953min, tot time: 0.590day, L_base: 20.530, L_train: 20.511, update_model: True.
Epoch: 21, epoch time: 34.902min, tot time: 0.618day, L_base: 20.310, L_train: 20.194, update_model: True.
Epoch: 22, epoch time: 34.963min, tot time: 0.646day, L_base: 20.656, L_train: 21.043, update_model: False.
Epoch: 23, epoch time: 34.952min, tot time: 0.674day, L_base: 20.265, L_train: 20.184, update_model: True.
Epoch: 24, epoch time: 34.962min, tot time: 0.702day, L_base: 20.444, L_train: 20.290, update_model: True.
Epoch: 25, epoch time: 35.015min, tot time: 0.730day, L_base: 20.445, L_train: 20.643, update_model: False.
Epoch: 26, epoch time: 34.936min, tot time: 0.757day, L_base: 20.349, L_train: 20.634, update_model: False.
Epoch: 27, epoch time: 34.950min, tot time: 0.785day, L_base: 20.283, L_train: 20.374, update_model: False.
Epoch: 28, epoch time: 34.891min, tot time: 0.813day, L_base: 20.374, L_train: 20.451, update_model: False.
Epoch: 29, epoch time: 34.754min, tot time: 0.841day, L_base: 20.276, L_train: 20.394, update_model: False.
Epoch: 30, epoch time: 34.761min, tot time: 0.869day, L_base: 20.154, L_train: 20.070, update_model: True.
Epoch: 31, epoch time: 34.936min, tot time: 0.897day, L_base: 20.303, L_train: 20.420, update_model: False.
Epoch: 32, epoch time: 34.985min, tot time: 0.924day, L_base: 20.021, L_train: 20.286, update_model: False.
Epoch: 33, epoch time: 34.885min, tot time: 0.952day, L_base: 20.141, L_train: 20.321, update_model: False.
Epoch: 34, epoch time: 35.333min, tot time: 0.980day, L_base: 20.086, L_train: 20.085, update_model: True.
Epoch: 35, epoch time: 35.125min, tot time: 1.008day, L_base: 20.189, L_train: 20.336, update_model: False.
Epoch: 36, epoch time: 34.509min, tot time: 1.036day, L_base: 19.901, L_train: 19.844, update_model: True.
Epoch: 37, epoch time: 34.122min, tot time: 1.063day, L_base: 20.199, L_train: 20.294, update_model: False.
Epoch: 38, epoch time: 34.398min, tot time: 1.091day, L_base: 20.184, L_train: 20.408, update_model: False.
Epoch: 39, epoch time: 34.521min, tot time: 1.118day, L_base: 20.138, L_train: 20.170, update_model: False.
Epoch: 40, epoch time: 34.853min, tot time: 1.146day, L_base: 19.987, L_train: 20.153, update_model: False.
Epoch: 41, epoch time: 35.062min, tot time: 1.174day, L_base: 20.084, L_train: 20.060, update_model: True.
Epoch: 42, epoch time: 35.079min, tot time: 1.202day, L_base: 19.921, L_train: 19.871, update_model: True.
Epoch: 43, epoch time: 34.262min, tot time: 1.229day, L_base: 19.912, L_train: 19.906, update_model: True.
Epoch: 44, epoch time: 34.379min, tot time: 1.257day, L_base: 19.694, L_train: 19.724, update_model: False.
Epoch: 45, epoch time: 34.346min, tot time: 1.284day, L_base: 20.050, L_train: 20.161, update_model: False.
Epoch: 46, epoch time: 34.382min, tot time: 1.312day, L_base: 19.905, L_train: 19.901, update_model: True.
