24-01-21--12-12-47

aug=mix
bsz=128
nb_nodes=100
model_lr=0.0001
nb_batch_per_epoch=300
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=250
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 28.192min, tot time: 0.020day, L_base: 29.963, L_train: 21.899, update_model: True.
Epoch: 1, epoch time: 24.939min, tot time: 0.041day, L_base: 21.836, L_train: 19.542, update_model: True.
Epoch: 2, epoch time: 24.328min, tot time: 0.062day, L_base: 19.587, L_train: 19.469, update_model: True.
Epoch: 3, epoch time: 24.566min, tot time: 0.082day, L_base: 19.440, L_train: 18.363, update_model: True.
Epoch: 4, epoch time: 24.075min, tot time: 0.103day, L_base: 18.322, L_train: 18.029, update_model: True.
Epoch: 5, epoch time: 24.296min, tot time: 0.123day, L_base: 17.979, L_train: 17.998, update_model: False.
Epoch: 6, epoch time: 24.278min, tot time: 0.143day, L_base: 18.093, L_train: 17.791, update_model: True.
Epoch: 7, epoch time: 24.069min, tot time: 0.164day, L_base: 17.970, L_train: 17.922, update_model: True.
Epoch: 8, epoch time: 24.174min, tot time: 0.184day, L_base: 17.637, L_train: 17.636, update_model: False.
Epoch: 9, epoch time: 24.124min, tot time: 0.204day, L_base: 17.680, L_train: 17.446, update_model: True.
Epoch: 10, epoch time: 24.132min, tot time: 0.224day, L_base: 17.535, L_train: 17.581, update_model: False.
Epoch: 11, epoch time: 23.813min, tot time: 0.244day, L_base: 17.479, L_train: 17.601, update_model: False.
Epoch: 12, epoch time: 24.091min, tot time: 0.265day, L_base: 17.579, L_train: 17.422, update_model: True.
Epoch: 13, epoch time: 24.218min, tot time: 0.285day, L_base: 17.499, L_train: 17.481, update_model: True.
Epoch: 14, epoch time: 24.111min, tot time: 0.305day, L_base: 17.330, L_train: 17.251, update_model: True.
Epoch: 15, epoch time: 24.305min, tot time: 0.326day, L_base: 17.202, L_train: 17.181, update_model: True.
Epoch: 16, epoch time: 24.276min, tot time: 0.346day, L_base: 17.278, L_train: 17.413, update_model: False.
Epoch: 17, epoch time: 24.241min, tot time: 0.366day, L_base: 17.294, L_train: 17.344, update_model: False.
Epoch: 18, epoch time: 24.346min, tot time: 0.387day, L_base: 17.364, L_train: 17.364, update_model: False.
Epoch: 19, epoch time: 24.165min, tot time: 0.407day, L_base: 17.212, L_train: 17.185, update_model: True.
Epoch: 20, epoch time: 24.135min, tot time: 0.427day, L_base: 17.232, L_train: 17.219, update_model: True.
