24-04-18--14-10-02

aug=mix
bsz=128
nb_nodes=100
model_lr=0.0001
nb_batch_per_epoch=300
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 25.021min, tot time: 0.017day, L_base: 32.879, L_train: 23.187, update_model: True.
Epoch: 1, epoch time: 23.407min, tot time: 0.038day, L_base: 23.008, L_train: 19.216, update_model: True.
Epoch: 2, epoch time: 23.291min, tot time: 0.057day, L_base: 19.261, L_train: 18.799, update_model: True.
Epoch: 3, epoch time: 22.580min, tot time: 0.077day, L_base: 18.821, L_train: 18.435, update_model: True.
Epoch: 4, epoch time: 22.523min, tot time: 0.096day, L_base: 18.459, L_train: 18.131, update_model: True.
Epoch: 5, epoch time: 22.393min, tot time: 0.115day, L_base: 18.357, L_train: 18.129, update_model: True.
Epoch: 6, epoch time: 22.445min, tot time: 0.134day, L_base: 17.889, L_train: 17.722, update_model: True.
Epoch: 7, epoch time: 22.348min, tot time: 0.153day, L_base: 17.862, L_train: 17.797, update_model: True.
Epoch: 8, epoch time: 22.429min, tot time: 0.172day, L_base: 17.719, L_train: 17.644, update_model: True.
Epoch: 9, epoch time: 22.423min, tot time: 0.191day, L_base: 17.558, L_train: 17.469, update_model: True.
Epoch: 10, epoch time: 25.082min, tot time: 0.212day, L_base: 17.492, L_train: 17.535, update_model: False.
Epoch: 11, epoch time: 23.210min, tot time: 0.232day, L_base: 17.448, L_train: 17.371, update_model: True.
Epoch: 12, epoch time: 23.196min, tot time: 0.252day, L_base: 17.535, L_train: 17.525, update_model: True.
Epoch: 13, epoch time: 23.033min, tot time: 0.271day, L_base: 17.465, L_train: 17.459, update_model: True.
Epoch: 14, epoch time: 22.272min, tot time: 0.290day, L_base: 17.490, L_train: 17.553, update_model: False.
Epoch: 15, epoch time: 22.351min, tot time: 0.309day, L_base: 17.585, L_train: 17.438, update_model: True.
Epoch: 16, epoch time: 22.087min, tot time: 0.328day, L_base: 17.285, L_train: 17.498, update_model: False.
Epoch: 17, epoch time: 22.164min, tot time: 0.347day, L_base: 17.409, L_train: 17.459, update_model: False.
Epoch: 18, epoch time: 21.998min, tot time: 0.366day, L_base: 17.313, L_train: 17.332, update_model: False.
Epoch: 19, epoch time: 22.878min, tot time: 0.385day, L_base: 17.304, L_train: 17.176, update_model: True.
Epoch: 20, epoch time: 21.976min, tot time: 0.404day, L_base: 17.054, L_train: 17.141, update_model: False.
Epoch: 21, epoch time: 22.904min, tot time: 0.423day, L_base: 17.209, L_train: 17.259, update_model: False.
Epoch: 22, epoch time: 22.907min, tot time: 0.443day, L_base: 17.108, L_train: 17.199, update_model: False.
Epoch: 23, epoch time: 22.926min, tot time: 0.462day, L_base: 17.192, L_train: 17.159, update_model: True.
Epoch: 24, epoch time: 22.903min, tot time: 0.482day, L_base: 17.077, L_train: 17.075, update_model: True.
Epoch: 25, epoch time: 22.440min, tot time: 0.501day, L_base: 17.088, L_train: 17.169, update_model: False.
Epoch: 26, epoch time: 22.750min, tot time: 0.520day, L_base: 17.104, L_train: 17.076, update_model: True.
Epoch: 27, epoch time: 22.720min, tot time: 0.539day, L_base: 17.155, L_train: 17.043, update_model: True.
Epoch: 28, epoch time: 22.635min, tot time: 0.559day, L_base: 16.890, L_train: 16.991, update_model: False.
Epoch: 29, epoch time: 22.656min, tot time: 0.578day, L_base: 16.997, L_train: 17.031, update_model: False.
Epoch: 30, epoch time: 22.692min, tot time: 0.597day, L_base: 16.969, L_train: 16.913, update_model: True.
Epoch: 31, epoch time: 22.707min, tot time: 0.617day, L_base: 17.046, L_train: 17.117, update_model: False.
Epoch: 32, epoch time: 22.688min, tot time: 0.636day, L_base: 16.719, L_train: 16.749, update_model: False.
Epoch: 33, epoch time: 22.577min, tot time: 0.655day, L_base: 17.039, L_train: 17.074, update_model: False.
Epoch: 34, epoch time: 22.593min, tot time: 0.674day, L_base: 17.005, L_train: 16.986, update_model: True.
Epoch: 35, epoch time: 22.558min, tot time: 0.694day, L_base: 16.907, L_train: 16.872, update_model: True.
Epoch: 36, epoch time: 22.572min, tot time: 0.713day, L_base: 16.955, L_train: 16.923, update_model: True.
Epoch: 37, epoch time: 22.578min, tot time: 0.732day, L_base: 16.825, L_train: 16.825, update_model: False.
Epoch: 38, epoch time: 22.564min, tot time: 0.751day, L_base: 16.947, L_train: 16.965, update_model: False.
Epoch: 39, epoch time: 22.580min, tot time: 0.770day, L_base: 16.897, L_train: 16.860, update_model: True.
Epoch: 40, epoch time: 22.540min, tot time: 0.789day, L_base: 16.771, L_train: 16.973, update_model: False.
Epoch: 41, epoch time: 22.539min, tot time: 0.809day, L_base: 16.873, L_train: 16.917, update_model: False.
Epoch: 42, epoch time: 22.548min, tot time: 0.828day, L_base: 16.826, L_train: 16.839, update_model: False.
Epoch: 43, epoch time: 22.554min, tot time: 0.847day, L_base: 16.875, L_train: 16.921, update_model: False.
