24-04-18--14-13-24

aug=mix
bsz=128
nb_nodes=100
model_lr=0.0001
nb_batch_per_epoch=300
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=2
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35, 50]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 28.261min, tot time: 0.020day, L_base: 30.745, L_train: 21.929, update_model: True.
Epoch: 1, epoch time: 27.051min, tot time: 0.043day, L_base: 22.041, L_train: 19.233, update_model: True.
Epoch: 2, epoch time: 27.084min, tot time: 0.066day, L_base: 19.255, L_train: 18.597, update_model: True.
Epoch: 3, epoch time: 26.719min, tot time: 0.089day, L_base: 18.750, L_train: 18.250, update_model: True.
Epoch: 4, epoch time: 26.443min, tot time: 0.111day, L_base: 18.058, L_train: 17.870, update_model: True.
Epoch: 5, epoch time: 26.391min, tot time: 0.134day, L_base: 17.862, L_train: 17.916, update_model: False.
Epoch: 6, epoch time: 26.995min, tot time: 0.157day, L_base: 17.827, L_train: 17.603, update_model: True.
Epoch: 7, epoch time: 27.021min, tot time: 0.180day, L_base: 17.604, L_train: 17.730, update_model: False.
Epoch: 8, epoch time: 26.289min, tot time: 0.202day, L_base: 17.797, L_train: 17.774, update_model: True.
Epoch: 9, epoch time: 26.421min, tot time: 0.225day, L_base: 17.806, L_train: 17.817, update_model: False.
Epoch: 10, epoch time: 26.438min, tot time: 0.248day, L_base: 17.606, L_train: 17.431, update_model: True.
Epoch: 11, epoch time: 26.437min, tot time: 0.270day, L_base: 17.435, L_train: 17.577, update_model: False.
Epoch: 12, epoch time: 27.043min, tot time: 0.293day, L_base: 17.477, L_train: 17.571, update_model: False.
Epoch: 13, epoch time: 27.055min, tot time: 0.316day, L_base: 17.439, L_train: 17.303, update_model: True.
Epoch: 14, epoch time: 27.062min, tot time: 0.339day, L_base: 17.284, L_train: 17.466, update_model: False.
Epoch: 15, epoch time: 27.072min, tot time: 0.362day, L_base: 17.290, L_train: 17.304, update_model: False.
Epoch: 16, epoch time: 26.312min, tot time: 0.385day, L_base: 17.442, L_train: 17.464, update_model: False.
Epoch: 17, epoch time: 26.346min, tot time: 0.408day, L_base: 17.437, L_train: 17.277, update_model: True.
Epoch: 18, epoch time: 26.373min, tot time: 0.430day, L_base: 17.258, L_train: 17.305, update_model: False.
Epoch: 19, epoch time: 26.357min, tot time: 0.453day, L_base: 17.227, L_train: 17.172, update_model: True.
Epoch: 20, epoch time: 26.410min, tot time: 0.475day, L_base: 17.075, L_train: 17.172, update_model: False.
Epoch: 21, epoch time: 26.354min, tot time: 0.498day, L_base: 17.091, L_train: 17.195, update_model: False.
Epoch: 22, epoch time: 26.399min, tot time: 0.520day, L_base: 17.251, L_train: 17.244, update_model: True.
Epoch: 23, epoch time: 26.363min, tot time: 0.543day, L_base: 17.177, L_train: 17.358, update_model: False.
Epoch: 24, epoch time: 27.089min, tot time: 0.566day, L_base: 17.113, L_train: 17.059, update_model: True.
Epoch: 25, epoch time: 27.111min, tot time: 0.589day, L_base: 17.006, L_train: 16.997, update_model: True.
Epoch: 26, epoch time: 27.140min, tot time: 0.612day, L_base: 17.023, L_train: 16.939, update_model: True.
Epoch: 27, epoch time: 27.099min, tot time: 0.635day, L_base: 16.830, L_train: 16.862, update_model: False.
Epoch: 28, epoch time: 27.078min, tot time: 0.658day, L_base: 17.030, L_train: 16.961, update_model: True.
Epoch: 29, epoch time: 27.105min, tot time: 0.681day, L_base: 16.872, L_train: 16.955, update_model: False.
