24-04-18--14-14-20

aug=mix
bsz=128
nb_nodes=100
model_lr=0.0001
nb_batch_per_epoch=300
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=3
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35, 50, 65]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 31.192min, tot time: 0.022day, L_base: 31.585, L_train: 21.596, update_model: True.
Epoch: 1, epoch time: 30.555min, tot time: 0.048day, L_base: 21.455, L_train: 19.002, update_model: True.
Epoch: 2, epoch time: 30.398min, tot time: 0.074day, L_base: 19.137, L_train: 18.626, update_model: True.
Epoch: 3, epoch time: 30.524min, tot time: 0.100day, L_base: 18.651, L_train: 18.226, update_model: True.
Epoch: 4, epoch time: 30.417min, tot time: 0.126day, L_base: 18.152, L_train: 18.046, update_model: True.
Epoch: 5, epoch time: 29.748min, tot time: 0.152day, L_base: 18.029, L_train: 17.882, update_model: True.
Epoch: 6, epoch time: 30.444min, tot time: 0.178day, L_base: 17.924, L_train: 17.949, update_model: False.
Epoch: 7, epoch time: 30.438min, tot time: 0.204day, L_base: 17.803, L_train: 17.632, update_model: True.
Epoch: 8, epoch time: 30.527min, tot time: 0.230day, L_base: 17.780, L_train: 17.842, update_model: False.
Epoch: 9, epoch time: 30.500min, tot time: 0.256day, L_base: 17.611, L_train: 17.628, update_model: False.
Epoch: 10, epoch time: 30.548min, tot time: 0.282day, L_base: 17.909, L_train: 17.830, update_model: True.
Epoch: 11, epoch time: 30.684min, tot time: 0.309day, L_base: 17.621, L_train: 17.488, update_model: True.
Epoch: 12, epoch time: 30.661min, tot time: 0.335day, L_base: 17.541, L_train: 17.623, update_model: False.
Epoch: 13, epoch time: 30.662min, tot time: 0.361day, L_base: 17.456, L_train: 17.495, update_model: False.
Epoch: 14, epoch time: 30.734min, tot time: 0.387day, L_base: 17.523, L_train: 17.388, update_model: True.
Epoch: 15, epoch time: 30.833min, tot time: 0.414day, L_base: 17.434, L_train: 17.272, update_model: True.
