24-04-11--15-15-16

aug=mix
bsz=64
nb_nodes=120
model_lr=5e-05
nb_batch_per_epoch=400
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[65]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 19.300min, tot time: 0.013day, L_base: 18.185, L_train: 13.138, update_model: True.
Epoch: 1, epoch time: 19.118min, tot time: 0.028day, L_base: 13.095, L_train: 11.069, update_model: True.
Epoch: 2, epoch time: 18.858min, tot time: 0.043day, L_base: 11.095, L_train: 9.594, update_model: True.
Epoch: 3, epoch time: 18.695min, tot time: 0.058day, L_base: 9.594, L_train: 10.024, update_model: False.
Epoch: 4, epoch time: 18.958min, tot time: 0.073day, L_base: 9.572, L_train: 9.230, update_model: True.
Epoch: 5, epoch time: 18.987min, tot time: 0.087day, L_base: 9.239, L_train: 14.646, update_model: False.
Epoch: 6, epoch time: 19.426min, tot time: 0.103day, L_base: 9.250, L_train: 11.131, update_model: False.
Epoch: 7, epoch time: 19.438min, tot time: 0.118day, L_base: 9.256, L_train: 10.524, update_model: False.
Epoch: 8, epoch time: 19.379min, tot time: 0.133day, L_base: 9.225, L_train: 9.736, update_model: False.
Epoch: 9, epoch time: 18.679min, tot time: 0.148day, L_base: 9.225, L_train: 9.728, update_model: False.
Epoch: 10, epoch time: 18.677min, tot time: 0.162day, L_base: 9.233, L_train: 9.251, update_model: False.
Epoch: 11, epoch time: 18.666min, tot time: 0.177day, L_base: 9.258, L_train: 9.339, update_model: False.
Epoch: 12, epoch time: 18.677min, tot time: 0.192day, L_base: 9.239, L_train: 9.188, update_model: True.
Epoch: 13, epoch time: 18.666min, tot time: 0.206day, L_base: 9.187, L_train: 9.223, update_model: False.
Epoch: 14, epoch time: 18.657min, tot time: 0.221day, L_base: 9.177, L_train: 9.165, update_model: True.
Epoch: 15, epoch time: 18.683min, tot time: 0.235day, L_base: 9.157, L_train: 9.114, update_model: True.
Epoch: 16, epoch time: 18.814min, tot time: 0.250day, L_base: 9.127, L_train: 9.170, update_model: False.
Epoch: 17, epoch time: 18.972min, tot time: 0.265day, L_base: 9.140, L_train: 9.068, update_model: True.
Epoch: 18, epoch time: 19.085min, tot time: 0.280day, L_base: 9.047, L_train: 9.044, update_model: True.
Epoch: 19, epoch time: 18.888min, tot time: 0.295day, L_base: 9.069, L_train: 9.036, update_model: True.
Epoch: 20, epoch time: 18.869min, tot time: 0.309day, L_base: 9.035, L_train: 9.049, update_model: False.
Epoch: 21, epoch time: 18.851min, tot time: 0.324day, L_base: 9.023, L_train: 9.006, update_model: True.
Epoch: 22, epoch time: 18.864min, tot time: 0.339day, L_base: 9.039, L_train: 9.074, update_model: False.
Epoch: 23, epoch time: 18.853min, tot time: 0.354day, L_base: 9.035, L_train: 9.057, update_model: False.
Epoch: 24, epoch time: 19.186min, tot time: 0.369day, L_base: 9.026, L_train: 8.904, update_model: True.
Epoch: 25, epoch time: 19.209min, tot time: 0.384day, L_base: 8.929, L_train: 8.903, update_model: True.
Epoch: 26, epoch time: 19.314min, tot time: 0.399day, L_base: 8.898, L_train: 8.944, update_model: False.
Epoch: 27, epoch time: 19.297min, tot time: 0.414day, L_base: 8.916, L_train: 8.913, update_model: True.
Epoch: 28, epoch time: 18.892min, tot time: 0.429day, L_base: 8.881, L_train: 8.864, update_model: True.
Epoch: 29, epoch time: 18.896min, tot time: 0.443day, L_base: 8.871, L_train: 8.851, update_model: True.
Epoch: 30, epoch time: 18.823min, tot time: 0.458day, L_base: 8.880, L_train: 8.907, update_model: False.
Epoch: 31, epoch time: 18.802min, tot time: 0.473day, L_base: 8.862, L_train: 8.878, update_model: False.
Epoch: 32, epoch time: 18.813min, tot time: 0.488day, L_base: 8.870, L_train: 8.881, update_model: False.
Epoch: 33, epoch time: 18.809min, tot time: 0.502day, L_base: 8.844, L_train: 8.857, update_model: False.
Epoch: 34, epoch time: 18.797min, tot time: 0.517day, L_base: 8.866, L_train: 8.864, update_model: True.
Epoch: 35, epoch time: 18.813min, tot time: 0.532day, L_base: 8.893, L_train: 8.907, update_model: False.
Epoch: 36, epoch time: 18.809min, tot time: 0.547day, L_base: 8.848, L_train: 8.848, update_model: False.
Epoch: 37, epoch time: 18.792min, tot time: 0.561day, L_base: 8.835, L_train: 8.825, update_model: True.
Epoch: 38, epoch time: 18.784min, tot time: 0.576day, L_base: 8.861, L_train: 8.879, update_model: False.
Epoch: 39, epoch time: 19.368min, tot time: 0.591day, L_base: 8.855, L_train: 8.855, update_model: False.
Epoch: 40, epoch time: 19.369min, tot time: 0.606day, L_base: 8.841, L_train: 8.823, update_model: True.
