24-04-11--16-19-42

aug=mix
bsz=64
nb_nodes=100
candidate_lr=2e-05
model_lr=5e-05
nb_batch_per_epoch=400
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[50]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
if_test=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 15.420min, tot time: 0.011day, L_base: 17.858, L_train: 12.674, update_model: True.
Epoch: 1, epoch time: 15.575min, tot time: 0.023day, L_base: 12.652, L_train: 10.386, update_model: True.
Epoch: 2, epoch time: 15.626min, tot time: 0.035day, L_base: 10.387, L_train: 9.307, update_model: True.
Epoch: 3, epoch time: 15.760min, tot time: 0.047day, L_base: 9.324, L_train: 8.638, update_model: True.
Epoch: 4, epoch time: 15.742min, tot time: 0.060day, L_base: 8.636, L_train: 8.617, update_model: True.
Epoch: 5, epoch time: 15.617min, tot time: 0.072day, L_base: 8.635, L_train: 8.525, update_model: True.
Epoch: 6, epoch time: 15.442min, tot time: 0.084day, L_base: 8.507, L_train: 8.429, update_model: True.
Epoch: 7, epoch time: 15.321min, tot time: 0.096day, L_base: 8.472, L_train: 8.579, update_model: False.
Epoch: 8, epoch time: 15.314min, tot time: 0.108day, L_base: 8.442, L_train: 8.552, update_model: False.
Epoch: 9, epoch time: 15.362min, tot time: 0.120day, L_base: 8.471, L_train: 8.474, update_model: False.
Epoch: 10, epoch time: 15.191min, tot time: 0.132day, L_base: 8.445, L_train: 8.550, update_model: False.
Epoch: 11, epoch time: 15.197min, tot time: 0.144day, L_base: 8.416, L_train: 8.283, update_model: True.
Epoch: 12, epoch time: 15.194min, tot time: 0.155day, L_base: 8.316, L_train: 8.531, update_model: False.
Epoch: 13, epoch time: 15.182min, tot time: 0.167day, L_base: 8.331, L_train: 8.281, update_model: True.
