24-04-11--16-19-47

aug=mix
bsz=96
nb_nodes=100
candidate_lr=2e-05
model_lr=6.67e-05
nb_batch_per_epoch=400
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
if_test=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 21.054min, tot time: 0.015day, L_base: 14.686, L_train: 12.344, update_model: True.
Epoch: 1, epoch time: 20.524min, tot time: 0.031day, L_base: 12.326, L_train: 9.502, update_model: True.
Epoch: 2, epoch time: 20.340min, tot time: 0.047day, L_base: 9.459, L_train: 8.567, update_model: True.
Epoch: 3, epoch time: 20.375min, tot time: 0.063day, L_base: 8.546, L_train: 8.457, update_model: True.
Epoch: 4, epoch time: 20.532min, tot time: 0.079day, L_base: 8.468, L_train: 8.944, update_model: False.
Epoch: 5, epoch time: 20.141min, tot time: 0.095day, L_base: 8.471, L_train: 8.400, update_model: True.
Epoch: 6, epoch time: 17.544min, tot time: 0.109day, L_base: 8.397, L_train: 8.316, update_model: True.
Epoch: 7, epoch time: 20.608min, tot time: 0.125day, L_base: 8.301, L_train: 8.255, update_model: True.
Epoch: 8, epoch time: 15.516min, tot time: 0.138day, L_base: 8.268, L_train: 8.263, update_model: True.
Epoch: 9, epoch time: 15.485min, tot time: 0.150day, L_base: 8.242, L_train: 8.226, update_model: True.
Epoch: 10, epoch time: 15.531min, tot time: 0.162day, L_base: 8.241, L_train: 8.193, update_model: True.
Epoch: 11, epoch time: 16.443min, tot time: 0.175day, L_base: 8.209, L_train: 8.210, update_model: False.
Epoch: 12, epoch time: 20.304min, tot time: 0.191day, L_base: 8.175, L_train: 8.159, update_model: True.
Epoch: 13, epoch time: 20.135min, tot time: 0.207day, L_base: 8.144, L_train: 8.117, update_model: True.
Epoch: 14, epoch time: 20.617min, tot time: 0.223day, L_base: 8.134, L_train: 8.996, update_model: False.
Epoch: 15, epoch time: 20.314min, tot time: 0.239day, L_base: 8.151, L_train: 8.197, update_model: False.
Epoch: 16, epoch time: 20.619min, tot time: 0.255day, L_base: 8.134, L_train: 8.131, update_model: True.
Epoch: 17, epoch time: 20.665min, tot time: 0.272day, L_base: 8.151, L_train: 8.144, update_model: True.
Epoch: 18, epoch time: 20.205min, tot time: 0.288day, L_base: 8.155, L_train: 8.127, update_model: True.
Epoch: 19, epoch time: 15.506min, tot time: 0.300day, L_base: 8.095, L_train: 8.123, update_model: False.
Epoch: 20, epoch time: 15.442min, tot time: 0.312day, L_base: 8.122, L_train: 8.106, update_model: True.
Epoch: 21, epoch time: 15.442min, tot time: 0.324day, L_base: 8.108, L_train: 8.153, update_model: False.
Epoch: 22, epoch time: 15.581min, tot time: 0.337day, L_base: 8.107, L_train: 8.156, update_model: False.
Epoch: 23, epoch time: 15.553min, tot time: 0.349day, L_base: 8.113, L_train: 8.135, update_model: False.
Epoch: 24, epoch time: 15.522min, tot time: 0.361day, L_base: 8.099, L_train: 8.180, update_model: False.
Epoch: 25, epoch time: 15.504min, tot time: 0.373day, L_base: 8.106, L_train: 8.150, update_model: False.
Epoch: 26, epoch time: 15.538min, tot time: 0.385day, L_base: 8.112, L_train: 8.129, update_model: False.
Epoch: 27, epoch time: 15.564min, tot time: 0.397day, L_base: 8.097, L_train: 8.093, update_model: True.
Epoch: 28, epoch time: 15.528min, tot time: 0.409day, L_base: 8.117, L_train: 8.110, update_model: True.
Epoch: 29, epoch time: 15.548min, tot time: 0.421day, L_base: 8.096, L_train: 8.086, update_model: True.
Epoch: 30, epoch time: 15.528min, tot time: 0.433day, L_base: 8.084, L_train: 8.197, update_model: False.
Epoch: 31, epoch time: 15.558min, tot time: 0.445day, L_base: 8.088, L_train: 8.085, update_model: True.
Epoch: 32, epoch time: 15.607min, tot time: 0.458day, L_base: 8.092, L_train: 8.105, update_model: False.
