24-01-13--12-22-58

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=250
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=True
if_test=True
tol=0.001
data_path=./

Epoch: 0, epoch time: 11.474min, tot time: 0.008day, L_base: 29.645, L_train: 14.987, update_model: True.
Epoch: 1, epoch time: 11.433min, tot time: 0.017day, L_base: 14.942, L_train: 10.764, update_model: True.
Epoch: 2, epoch time: 11.435min, tot time: 0.027day, L_base: 10.755, L_train: 9.041, update_model: True.
Epoch: 3, epoch time: 11.309min, tot time: 0.036day, L_base: 9.031, L_train: 8.553, update_model: True.
Epoch: 4, epoch time: 11.312min, tot time: 0.045day, L_base: 8.575, L_train: 8.524, update_model: True.
Epoch: 5, epoch time: 11.307min, tot time: 0.054day, L_base: 8.495, L_train: 8.654, update_model: False.
Epoch: 6, epoch time: 11.308min, tot time: 0.063day, L_base: 8.539, L_train: 8.365, update_model: True.
Epoch: 7, epoch time: 11.314min, tot time: 0.072day, L_base: 8.358, L_train: 8.714, update_model: False.
Epoch: 8, epoch time: 11.304min, tot time: 0.081day, L_base: 8.340, L_train: 8.301, update_model: True.
Epoch: 9, epoch time: 11.303min, tot time: 0.091day, L_base: 8.300, L_train: 8.328, update_model: False.
Epoch: 10, epoch time: 11.307min, tot time: 0.100day, L_base: 8.298, L_train: 8.287, update_model: True.
Epoch: 11, epoch time: 11.304min, tot time: 0.109day, L_base: 8.291, L_train: 8.232, update_model: True.
Epoch: 12, epoch time: 11.305min, tot time: 0.118day, L_base: 8.236, L_train: 8.274, update_model: False.
Epoch: 13, epoch time: 11.314min, tot time: 0.127day, L_base: 8.230, L_train: 8.157, update_model: True.
Epoch: 14, epoch time: 11.315min, tot time: 0.136day, L_base: 8.156, L_train: 8.164, update_model: False.
Epoch: 15, epoch time: 11.312min, tot time: 0.146day, L_base: 8.170, L_train: 8.231, update_model: False.
Epoch: 16, epoch time: 11.398min, tot time: 0.155day, L_base: 8.156, L_train: 8.149, update_model: True.
Epoch: 17, epoch time: 11.393min, tot time: 0.164day, L_base: 8.166, L_train: 8.210, update_model: False.
Epoch: 18, epoch time: 11.400min, tot time: 0.173day, L_base: 8.166, L_train: 8.246, update_model: False.
Epoch: 19, epoch time: 11.403min, tot time: 0.182day, L_base: 8.173, L_train: 8.197, update_model: False.
Epoch: 20, epoch time: 11.399min, tot time: 0.192day, L_base: 8.169, L_train: 8.134, update_model: True.
Epoch: 21, epoch time: 11.400min, tot time: 0.201day, L_base: 8.123, L_train: 8.126, update_model: False.
Epoch: 22, epoch time: 11.308min, tot time: 0.210day, L_base: 8.130, L_train: 8.191, update_model: False.
Epoch: 23, epoch time: 11.304min, tot time: 0.219day, L_base: 8.119, L_train: 8.126, update_model: False.
Epoch: 24, epoch time: 11.325min, tot time: 0.228day, L_base: 8.115, L_train: 8.102, update_model: True.
Epoch: 25, epoch time: 11.377min, tot time: 0.238day, L_base: 8.116, L_train: 8.135, update_model: False.
Epoch: 26, epoch time: 11.381min, tot time: 0.247day, L_base: 8.114, L_train: 8.170, update_model: False.
Epoch: 27, epoch time: 11.372min, tot time: 0.256day, L_base: 8.109, L_train: 8.170, update_model: False.
Epoch: 28, epoch time: 11.380min, tot time: 0.265day, L_base: 8.126, L_train: 8.129, update_model: False.
Epoch: 29, epoch time: 11.382min, tot time: 0.274day, L_base: 8.117, L_train: 8.120, update_model: False.
Epoch: 30, epoch time: 11.380min, tot time: 0.284day, L_base: 8.119, L_train: 8.138, update_model: False.
Epoch: 31, epoch time: 11.378min, tot time: 0.293day, L_base: 8.118, L_train: 8.122, update_model: False.
Epoch: 32, epoch time: 11.376min, tot time: 0.302day, L_base: 8.109, L_train: 8.128, update_model: False.
Epoch: 33, epoch time: 11.338min, tot time: 0.311day, L_base: 8.109, L_train: 8.087, update_model: True.
Epoch: 34, epoch time: 11.310min, tot time: 0.320day, L_base: 8.109, L_train: 8.113, update_model: False.
Epoch: 35, epoch time: 11.297min, tot time: 0.330day, L_base: 8.099, L_train: 8.134, update_model: False.
Epoch: 36, epoch time: 11.310min, tot time: 0.339day, L_base: 8.104, L_train: 8.089, update_model: True.
Epoch: 37, epoch time: 11.303min, tot time: 0.348day, L_base: 8.069, L_train: 8.070, update_model: False.
Epoch: 38, epoch time: 11.308min, tot time: 0.357day, L_base: 8.065, L_train: 8.090, update_model: False.
Epoch: 39, epoch time: 11.311min, tot time: 0.366day, L_base: 8.078, L_train: 8.074, update_model: True.
Epoch: 40, epoch time: 11.300min, tot time: 0.375day, L_base: 8.078, L_train: 8.128, update_model: False.
Epoch: 41, epoch time: 11.349min, tot time: 0.384day, L_base: 8.057, L_train: 8.149, update_model: False.
Epoch: 42, epoch time: 11.343min, tot time: 0.394day, L_base: 8.076, L_train: 8.088, update_model: False.
Epoch: 43, epoch time: 11.346min, tot time: 0.403day, L_base: 8.072, L_train: 8.073, update_model: False.
Epoch: 44, epoch time: 11.345min, tot time: 0.412day, L_base: 8.087, L_train: 8.099, update_model: False.
Epoch: 45, epoch time: 11.347min, tot time: 0.421day, L_base: 8.056, L_train: 8.065, update_model: False.
Epoch: 46, epoch time: 11.348min, tot time: 0.430day, L_base: 8.071, L_train: 8.075, update_model: False.
Epoch: 47, epoch time: 11.345min, tot time: 0.440day, L_base: 8.070, L_train: 8.087, update_model: False.
Epoch: 48, epoch time: 11.347min, tot time: 0.449day, L_base: 8.074, L_train: 8.112, update_model: False.
Epoch: 49, epoch time: 11.346min, tot time: 0.458day, L_base: 8.065, L_train: 8.091, update_model: False.
Epoch: 50, epoch time: 11.349min, tot time: 0.467day, L_base: 8.085, L_train: 8.091, update_model: False.
Epoch: 51, epoch time: 11.346min, tot time: 0.476day, L_base: 8.065, L_train: 8.085, update_model: False.
Epoch: 52, epoch time: 11.341min, tot time: 0.485day, L_base: 8.056, L_train: 8.063, update_model: False.
Epoch: 53, epoch time: 11.349min, tot time: 0.495day, L_base: 8.072, L_train: 8.075, update_model: False.
Epoch: 54, epoch time: 11.345min, tot time: 0.504day, L_base: 8.078, L_train: 8.136, update_model: False.
Epoch: 55, epoch time: 11.346min, tot time: 0.513day, L_base: 8.067, L_train: 8.063, update_model: True.
Epoch: 56, epoch time: 11.344min, tot time: 0.522day, L_base: 8.052, L_train: 8.051, update_model: False.
Epoch: 57, epoch time: 11.349min, tot time: 0.531day, L_base: 8.063, L_train: 8.074, update_model: False.
Epoch: 58, epoch time: 11.350min, tot time: 0.541day, L_base: 8.083, L_train: 8.086, update_model: False.
Epoch: 59, epoch time: 11.448min, tot time: 0.550day, L_base: 8.065, L_train: 8.089, update_model: False.
Epoch: 60, epoch time: 11.464min, tot time: 0.559day, L_base: 8.056, L_train: 8.046, update_model: True.
Epoch: 61, epoch time: 11.459min, tot time: 0.568day, L_base: 8.054, L_train: 8.066, update_model: False.
