24-01-16--20-55-35

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=2
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35, 50]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=250
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_test=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 16.252min, tot time: 0.011day, L_base: 15.723, L_train: 10.382, update_model: True.
Epoch: 1, epoch time: 16.223min, tot time: 0.024day, L_base: 10.393, L_train: 8.806, update_model: True.
Epoch: 2, epoch time: 16.244min, tot time: 0.037day, L_base: 8.791, L_train: 8.602, update_model: True.
Epoch: 3, epoch time: 15.988min, tot time: 0.050day, L_base: 8.624, L_train: 9.534, update_model: False.
Epoch: 4, epoch time: 16.223min, tot time: 0.063day, L_base: 8.582, L_train: 9.560, update_model: False.
Epoch: 5, epoch time: 15.984min, tot time: 0.076day, L_base: 8.615, L_train: 8.378, update_model: True.
Epoch: 6, epoch time: 16.088min, tot time: 0.089day, L_base: 8.364, L_train: 8.524, update_model: False.
Epoch: 7, epoch time: 16.133min, tot time: 0.102day, L_base: 8.388, L_train: 8.313, update_model: True.
Epoch: 8, epoch time: 16.203min, tot time: 0.115day, L_base: 8.316, L_train: 8.289, update_model: True.
Epoch: 9, epoch time: 16.216min, tot time: 0.129day, L_base: 8.268, L_train: 8.239, update_model: True.
Epoch: 10, epoch time: 16.201min, tot time: 0.142day, L_base: 8.230, L_train: 8.193, update_model: True.
Epoch: 11, epoch time: 16.195min, tot time: 0.155day, L_base: 8.194, L_train: 8.214, update_model: False.
Epoch: 12, epoch time: 16.224min, tot time: 0.168day, L_base: 8.182, L_train: 8.169, update_model: True.
Epoch: 13, epoch time: 16.222min, tot time: 0.181day, L_base: 8.185, L_train: 8.233, update_model: False.
Epoch: 14, epoch time: 16.207min, tot time: 0.194day, L_base: 8.178, L_train: 8.169, update_model: True.
Epoch: 15, epoch time: 16.228min, tot time: 0.207day, L_base: 8.159, L_train: 8.138, update_model: True.
Epoch: 16, epoch time: 16.212min, tot time: 0.220day, L_base: 8.146, L_train: 8.264, update_model: False.
Epoch: 17, epoch time: 16.219min, tot time: 0.233day, L_base: 8.113, L_train: 8.150, update_model: False.
Epoch: 18, epoch time: 16.202min, tot time: 0.246day, L_base: 8.150, L_train: 8.161, update_model: False.
Epoch: 19, epoch time: 16.139min, tot time: 0.259day, L_base: 8.136, L_train: 8.194, update_model: False.
Epoch: 20, epoch time: 16.152min, tot time: 0.272day, L_base: 8.129, L_train: 9.504, update_model: False.
Epoch: 21, epoch time: 16.166min, tot time: 0.285day, L_base: 8.130, L_train: 8.302, update_model: False.
