24-01-17--09-14-44

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=250
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_test=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 11.554min, tot time: 0.008day, L_base: 17.813, L_train: 12.259, update_model: True.
Epoch: 1, epoch time: 11.530min, tot time: 0.017day, L_base: 12.277, L_train: 10.479, update_model: True.
Epoch: 2, epoch time: 11.544min, tot time: 0.027day, L_base: 10.464, L_train: 9.821, update_model: True.
Epoch: 3, epoch time: 11.529min, tot time: 0.036day, L_base: 9.817, L_train: 8.515, update_model: True.
Epoch: 4, epoch time: 11.540min, tot time: 0.045day, L_base: 8.507, L_train: 8.543, update_model: False.
Epoch: 5, epoch time: 11.537min, tot time: 0.055day, L_base: 8.512, L_train: 8.456, update_model: True.
Epoch: 6, epoch time: 11.531min, tot time: 0.064day, L_base: 8.462, L_train: 8.470, update_model: False.
Epoch: 7, epoch time: 11.331min, tot time: 0.073day, L_base: 8.481, L_train: 8.319, update_model: True.
Epoch: 8, epoch time: 11.583min, tot time: 0.082day, L_base: 8.313, L_train: 8.543, update_model: False.
Epoch: 9, epoch time: 11.648min, tot time: 0.092day, L_base: 8.283, L_train: 8.218, update_model: True.
Epoch: 10, epoch time: 11.339min, tot time: 0.101day, L_base: 8.254, L_train: 8.249, update_model: True.
Epoch: 11, epoch time: 11.250min, tot time: 0.110day, L_base: 8.245, L_train: 8.244, update_model: False.
Epoch: 12, epoch time: 11.238min, tot time: 0.119day, L_base: 8.232, L_train: 8.129, update_model: True.
