24-04-24--13-48-40

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
nb_layers_state_encoder=2
nb_layers_action_encoder=4
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
data_path=./


Epoch: 0, epoch time: 13.367min, tot time: 0.009day, L_base: 17.030, L_train: 11.974, update_model: True.
Epoch: 1, epoch time: 13.312min, tot time: 0.020day, L_base: 11.999, L_train: 9.467, update_model: True.
Epoch: 2, epoch time: 13.005min, tot time: 0.031day, L_base: 9.467, L_train: 8.603, update_model: True.
Epoch: 3, epoch time: 12.779min, tot time: 0.041day, L_base: 8.608, L_train: 8.546, update_model: True.
Epoch: 4, epoch time: 13.136min, tot time: 0.052day, L_base: 8.553, L_train: 8.453, update_model: True.
Epoch: 5, epoch time: 13.070min, tot time: 0.063day, L_base: 8.455, L_train: 8.409, update_model: True.
Epoch: 6, epoch time: 12.434min, tot time: 0.073day, L_base: 8.421, L_train: 8.276, update_model: True.
Epoch: 7, epoch time: 13.071min, tot time: 0.084day, L_base: 8.251, L_train: 8.231, update_model: True.
Epoch: 8, epoch time: 12.818min, tot time: 0.094day, L_base: 8.251, L_train: 8.466, update_model: False.
Epoch: 9, epoch time: 12.777min, tot time: 0.105day, L_base: 8.250, L_train: 8.148, update_model: True.
Epoch: 10, epoch time: 12.884min, tot time: 0.115day, L_base: 8.135, L_train: 8.165, update_model: False.
Epoch: 11, epoch time: 12.943min, tot time: 0.126day, L_base: 8.141, L_train: 8.170, update_model: False.
Epoch: 12, epoch time: 12.641min, tot time: 0.136day, L_base: 8.130, L_train: 8.149, update_model: False.
Epoch: 13, epoch time: 13.344min, tot time: 0.147day, L_base: 8.141, L_train: 8.131, update_model: True.
Epoch: 14, epoch time: 13.024min, tot time: 0.157day, L_base: 8.127, L_train: 8.100, update_model: True.
Epoch: 15, epoch time: 13.145min, tot time: 0.168day, L_base: 8.101, L_train: 8.139, update_model: False.
Epoch: 16, epoch time: 12.703min, tot time: 0.179day, L_base: 8.110, L_train: 8.120, update_model: False.
Epoch: 17, epoch time: 13.251min, tot time: 0.189day, L_base: 8.106, L_train: 8.123, update_model: False.
Epoch: 18, epoch time: 13.073min, tot time: 0.200day, L_base: 8.126, L_train: 8.138, update_model: False.
Epoch: 19, epoch time: 12.954min, tot time: 0.211day, L_base: 8.104, L_train: 8.128, update_model: False.
Epoch: 20, epoch time: 13.032min, tot time: 0.221day, L_base: 8.106, L_train: 8.106, update_model: False.
Epoch: 21, epoch time: 12.757min, tot time: 0.232day, L_base: 8.112, L_train: 8.101, update_model: True.
