24-04-24--14-08-08

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=2
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
nb_layers_state_encoder=2
nb_layers_action_encoder=4
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
data_path=./
state_k=[35, 50]


Epoch: 0, epoch time: 15.616min, tot time: 0.011day, L_base: 15.544, L_train: 11.280, update_model: True.
Epoch: 1, epoch time: 15.884min, tot time: 0.024day, L_base: 11.249, L_train: 9.090, update_model: True.
Epoch: 2, epoch time: 14.609min, tot time: 0.036day, L_base: 9.093, L_train: 8.583, update_model: True.
Epoch: 3, epoch time: 14.494min, tot time: 0.048day, L_base: 8.567, L_train: 8.523, update_model: True.
Epoch: 4, epoch time: 14.502min, tot time: 0.060day, L_base: 8.544, L_train: 8.688, update_model: False.
Epoch: 5, epoch time: 14.503min, tot time: 0.072day, L_base: 8.535, L_train: 8.311, update_model: True.
Epoch: 6, epoch time: 14.517min, tot time: 0.084day, L_base: 8.306, L_train: 8.623, update_model: False.
Epoch: 7, epoch time: 14.417min, tot time: 0.096day, L_base: 8.333, L_train: 8.268, update_model: True.
Epoch: 8, epoch time: 14.486min, tot time: 0.108day, L_base: 8.270, L_train: 8.262, update_model: True.
Epoch: 9, epoch time: 14.517min, tot time: 0.120day, L_base: 8.213, L_train: 8.135, update_model: True.
Epoch: 10, epoch time: 15.679min, tot time: 0.133day, L_base: 8.141, L_train: 8.146, update_model: False.
Epoch: 11, epoch time: 16.568min, tot time: 0.147day, L_base: 8.161, L_train: 8.118, update_model: True.
Epoch: 12, epoch time: 16.165min, tot time: 0.160day, L_base: 8.114, L_train: 8.137, update_model: False.
Epoch: 13, epoch time: 16.033min, tot time: 0.174day, L_base: 8.103, L_train: 8.110, update_model: False.
Epoch: 14, epoch time: 18.290min, tot time: 0.189day, L_base: 8.114, L_train: 8.111, update_model: True.
Epoch: 15, epoch time: 16.141min, tot time: 0.202day, L_base: 8.094, L_train: 8.127, update_model: False.
Epoch: 16, epoch time: 17.814min, tot time: 0.217day, L_base: 8.097, L_train: 8.097, update_model: False.
Epoch: 17, epoch time: 17.404min, tot time: 0.231day, L_base: 8.124, L_train: 8.134, update_model: False.
Epoch: 18, epoch time: 15.863min, tot time: 0.244day, L_base: 8.113, L_train: 8.122, update_model: False.
Epoch: 19, epoch time: 16.574min, tot time: 0.258day, L_base: 8.105, L_train: 8.084, update_model: True.
Epoch: 20, epoch time: 15.991min, tot time: 0.271day, L_base: 8.066, L_train: 8.103, update_model: False.
Epoch: 21, epoch time: 15.300min, tot time: 0.284day, L_base: 8.071, L_train: 8.088, update_model: False.
Epoch: 22, epoch time: 14.488min, tot time: 0.296day, L_base: 8.070, L_train: 8.160, update_model: False.
Epoch: 23, epoch time: 14.486min, tot time: 0.308day, L_base: 8.071, L_train: 8.106, update_model: False.
Epoch: 24, epoch time: 14.600min, tot time: 0.320day, L_base: 8.068, L_train: 8.068, update_model: False.
Epoch: 25, epoch time: 14.466min, tot time: 0.332day, L_base: 8.084, L_train: 8.058, update_model: True.
Epoch: 26, epoch time: 14.414min, tot time: 0.344day, L_base: 8.066, L_train: 8.108, update_model: False.
Epoch: 27, epoch time: 15.844min, tot time: 0.357day, L_base: 8.046, L_train: 8.123, update_model: False.
Epoch: 28, epoch time: 17.724min, tot time: 0.371day, L_base: 8.065, L_train: 8.108, update_model: False.
