24-04-24--14-34-54

aug=mix
bsz=128
nb_nodes=100
candidate_lr=2e-05
model_lr=0.0001
nb_batch_per_epoch=300
checkpoint_model=n
checkpoint_candidate=n
checkpoint_model_pretrain=n
checkpoint_candidate_pretrain=n
aug_num=16
test_aug_num=16
num_state_encoder=3
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
nb_layers_state_encoder=2
nb_layers_action_encoder=4
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
problem=tsp
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
loss_type=n
train_joint=n
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_pretrain_encoder=True
if_aug=True
if_test=True
tol=0.001
data_path=./
state_k=[35, 50, 65]


Epoch: 0, epoch time: 18.543min, tot time: 0.013day, L_base: 25.209, L_train: 13.992, update_model: True.
Epoch: 1, epoch time: 18.293min, tot time: 0.028day, L_base: 13.982, L_train: 10.295, update_model: True.
Epoch: 2, epoch time: 18.142min, tot time: 0.043day, L_base: 10.298, L_train: 9.418, update_model: True.
Epoch: 3, epoch time: 18.066min, tot time: 0.058day, L_base: 9.401, L_train: 9.083, update_model: True.
Epoch: 4, epoch time: 18.002min, tot time: 0.073day, L_base: 9.103, L_train: 8.901, update_model: True.
Epoch: 5, epoch time: 17.963min, tot time: 0.088day, L_base: 8.879, L_train: 8.510, update_model: True.
Epoch: 6, epoch time: 17.842min, tot time: 0.103day, L_base: 8.546, L_train: 8.479, update_model: True.
Epoch: 7, epoch time: 17.769min, tot time: 0.118day, L_base: 8.472, L_train: 8.267, update_model: True.
Epoch: 8, epoch time: 17.817min, tot time: 0.133day, L_base: 8.281, L_train: 8.257, update_model: True.
Epoch: 9, epoch time: 17.801min, tot time: 0.148day, L_base: 8.253, L_train: 8.174, update_model: True.
Epoch: 10, epoch time: 17.874min, tot time: 0.163day, L_base: 8.197, L_train: 8.233, update_model: False.
Epoch: 11, epoch time: 17.668min, tot time: 0.178day, L_base: 8.181, L_train: 8.144, update_model: True.
Epoch: 12, epoch time: 18.026min, tot time: 0.193day, L_base: 8.160, L_train: 8.200, update_model: False.
Epoch: 13, epoch time: 18.036min, tot time: 0.208day, L_base: 8.144, L_train: 8.216, update_model: False.
Epoch: 14, epoch time: 18.001min, tot time: 0.223day, L_base: 8.148, L_train: 8.145, update_model: True.
Epoch: 15, epoch time: 18.245min, tot time: 0.238day, L_base: 8.162, L_train: 8.138, update_model: True.
